Cities,College_graduate,High_school_graduate,Less_than_high_school,COVID-19_Vaccination,Unvaccinated
Istanbul,19,69,12,52.53,47.47
Ankara,24,66,11,58.98,36.99
Izmir,19,70,11,61.84,38.16
Canakkale,16,73,9,69.42,30.58
Edirne,15,74,10,68.83,31.17
Kirklareli,15,77,10,68.23,31.77
Mugla,17,71,10,73.08,26.92
Balikesir,15,73,11,66.72,33.28
Van,9,65,25,38.04,61.96
Siirt,10,66,25,35.03,64.97
Sanliurfa,8,64,29,26.19,73.81
Agri,7,65,28,34.61,65.39
Diyarbakir,11,65,24,32.23,67.77
Mardin,10,65,24,29.43,70.57
Bingol,12,70,20,38.01,61.99
Batman,11,69,22,33.12,66.88
Tekirdag,15,71,11,60.02,39.98
Sakarya,13,75,12,50.11,49.88
DÃ¼zce,13,74,13,52.58,47.42
Bilecik,14,76,9,61.2,38.8
Kocaeli,16,72,12,51.82,48.18
Yalova,18,71,11,60.69,39.31
Bursa,15,73,12,53.5,46.51
Manisa,13,75,12,57.97,42.03
Aydin,15,72,13,62.56,37.44
Denizli,14,73,11,59.1,40.9
Mus,8,67,25,31.27,68.73
Hakkari,10,70,18,51.32,48.67
Sirnak,18,67,24,36.87,63.13
Igdir,11,65,23,37.57,62.43
Kars,10,70,20,45.6,54.4
Bitlis,10,69,21,31.9,68.1
Ardahan,11,72,17,55.72,44.28
Erzurum,12,69,18,44.48,55.52
Bayburt,13,73,14,43.68,56.32
Kilis,12,71,16,48.98,51.05
